text,label,NLP,,
P1,adult fruitless P1 (male) neuron,N,,
ruitless-expressing neural circuit,fruitless expressing neuron,Y,,
dsk neurons,Drosulfakinin neuron,Y,,32 peptidergic neuron GAL4s in fig 1
dsx neurons,adult doublesex neuron,N,,Can we use ref for terms to add?
DN1,DN1 neuron,Y,,Chosing adult over generic
SIFamide neuron,adult SIFamide cell of pars intercerebralis,Y,,
CrzGAL4 neurons,corazonin neuron,N,,
MP1,adult Drosulfakinin MP1 neuron,N- MP1,,
MP3,adult Drosulfakinin MP3 neuron,N- MP3,,
IPCs,insulin secreting cell of pars intercerebralis,Y,low confidence only,
MP1a,adult Drosulfakinin MP1a neuron,N-MP1a,,
MP1b,adult Drosulfakinin MP1b neuron,N,,
pC1,adult doublesex pC1 (female) neuron,N-PC1e,,
pCd,adult doublesex pCd (female) neuron,N,,
,,,,
,Sensitivity strict,0.357142857,,
,Sensitivity forgiving,0.642857143,,
,,,,
,,,,
,,,,
BROAD TERMS,,,,
sensory neurons,,,,
interneurons,,,,
motor neurons,,,,
VNC neurons,,,,
